UPC,PRODUCT_GROUP,PRODUCT_NAME,SKU,Fabric,Gender,Category,Style,Design,Color,Size,TYPE_NAME_DETAIL_EN,TYPE_NAME_GROUP,Price
3132780092146,Concept,HOI AN Mint purple,CPU-NGO-UNI-FWR-SNE-HAI-MPE-37,NGO,UNI,FWR,SNE,HAI,MPE,37,0,Other,3990000
3136334458839,Concept,Business card holder V3,CCO-DSP-UNI-BAG-CHR-BV3-CHO-0,DSP,UNI,BAG,CHR,BV3,CHO,0,0,Other,780000
3138097068331,Concept,Bertrand Loafer I,CCO-DSP-UNI-FWR-LES-BL1-ORA-37,DSP,UNI,FWR,LES,BL1,ORA,37,0,Other,5800000
3143429704658,Apparel,Beep Beep,GPR-GSP-MEN-POL-MAN-BBP-WHI-S,GSP,MEN,POL,MAN,BBP,WHI,S,Polo Short sleeves,Polo,1090000
3158051045109,Apparel,Jungle,GPR-GOR-MEN-TSP-ONE-JUN-JBG-L,GOR,MEN,TSP,ONE,JUN,JBG,L,T-shirts Pocket Short Sleeves,T-Shirt,990000
3167298584937,Concept,"Silk beads, Silver metal, Silk tassel",CCO-HAM-UNI-JEW-NEC-119-MIX-0,HAM,UNI,JEW,NEC,119,MIX,0,0,Other,2800000
3171205187777,Apparel,Banana Leaf,GPR-GSU-WOM-TTB-BNE-BLF-WHI-L,GSU,WOM,TTB,BNE,BLF,WHI,L,Tanktop Open Back,Tank Top,850000
3179501747008,Concept,Mai Chau Canvas Beige,CPU-NGO-UNI-FWR-SNE-MCS-BRO-40,NGO,UNI,FWR,SNE,MCS,BRO,40,0,Other,2650000
3188612276727,Apparel,Traffic Light,GPR-GSL-KID-TSS-ONE-TLT-BLK-8,GSL,KID,TSS,ONE,TLT,BLK,8,T-Shirt Short Sleeves,T-Shirt,550000
3189673643909,Concept,Sương Nguyệt Anh 2 90x90,CCO-LAN-UNI-HWR-SC2-SNA-YEL-90x90,LAN,UNI,HWR,SC2,SNA,YEL,90x90,0,Other,989000
3202298142906,Apparel,Gecko,GPR-GFI-MEN-HLS-ONE-GEC-RED-M,GFI,MEN,HLS,ONE,GEC,RED,M,Hoodies long sleeves,Hoodie,1590000
3202971764906,Apparel,Traffic Light,GPR-GBA-MEN-TSS-ONE-TLT-BLK-M,GBA,MEN,TSS,ONE,TLT,BLK,M,T-Shirt Short Sleeves,T-Shirt,710000
3209637419170,Concept,Hồ Xuân Hương 60x60,CCO-LAN-UNI-HWR-SC2-HXH-BLU-60x60,LAN,UNI,HWR,SC2,HXH,BLU,60x60,0,Other,549000
3216457463306,Art,TROPICAL MORNING,CCO-PAS-UNI-ART-ART-TMG-MIX-A3,PAS,UNI,ART,ART,TMG,MIX,A3,0,Other,6000000
3219661892603,Apparel,Saigon Cruise,GPR-GBA-MEN-TSS-ONE-SCR-WHI-XL,GBA,MEN,TSS,ONE,SCR,WHI,XL,T-Shirt Short Sleeves,T-Shirt,950000
3220287389088,Apparel,Beer Pop,GPR-GOR-MEN-TSS-ONE-BPP-BLK-L,GOR,MEN,TSS,ONE,BPP,BLK,L,T-Shirt Short Sleeves,T-Shirt,810000
3225372329710,Apparel,Traffic Light,GPR-GSL-KID-TSS-ONE-TLT-BLK-4,GSL,KID,TSS,ONE,TLT,BLK,4,T-Shirt Short Sleeves,T-Shirt,550000
3238334575704,Apparel,Urban,GPR-GBA-MEN-TSS-ONE-URB-JBG-S,GBA,MEN,TSS,ONE,URB,JBG,S,T-Shirt Short Sleeves,T-Shirt,710000
3247477023706,Concept,Loafer Blake,CCO-DSP-UNI-FWR-LES-BLA-BLK-41,DSP,UNI,FWR,LES,BLA,BLK,41,0,Other,10800000
3259757482479,Apparel,Rain Forest,GPR-GCV-MEN-SIS-BUT-RFT-WHI-M,GCV,MEN,SIS,BUT,RFT,WHI,M,Shirt Short Sleeves ,Shirt,1790000
3266089221805,Concept,ED Ethnic Bag -  Cong,CCO-EDE-UNI-BAG-ETB-CON-MIX-0,EDE,UNI,BAG,ETB,CON,MIX,0,0,Other,495000
3267291981136,Concept,"Silk beads, Resin, Silk tassel",CCO-HAM-UNI-JEW-NEC-102-MIX-0,HAM,UNI,JEW,NEC,102,MIX,0,0,Other,1800000
3279076555203,Concept,Sơn La Blend,CCO-SHI-UNI-FNB-CFP-SLB-WHI-BAG,SHI,UNI,FNB,CFP,SLB,WHI,BAG,0,Other,150000
3291752478804,Concept,"Sneaker
Bannister",CCO-DSP-UNI-FWR-SNE-SBA-MBE-43,DSP,UNI,FWR,SNE,SBA,MBE,43,0,Other,7500000
3295035267833,Concept,SAIGON CLASSIQUE' 24,CPU-NGO-UNI-FWR-SNE-SGS-SES-43,NGO,UNI,FWR,SNE,SGS,SES,43,0,Other,3850000
3300436520903,Concept,Cigar Box Python,CCO-DSP-UNI-SOU-CBX-CBP-BLK-0,DSP,UNI,SOU,CBX,CBP,BLK,0,0,Other,16500000
3309727419902,Apparel,Street coffee,GPR-GBA-MEN-TSS-ONE-STE-WHI-XL,GBA,MEN,TSS,ONE,STE,WHI,XL,T-Shirt Short Sleeves,T-Shirt,710000
3319220044877,Art,TROPICAL NOON,CCO-PAS-UNI-ART-ART-TNN-MIX-A1,PAS,UNI,ART,ART,TNN,MIX,A1,0,Other,7500000
3321683654449,Apparel,Horse,GPR-GOR-MEN-POL-MAN-HOR-GRE-S,GOR,MEN,POL,MAN,HOR,GRE,S,Polo Short sleeves,Polo,1090000
3323628447901,Concept,Seurat,CCO-DSP-UNI-BAG-WAL-SEU-DGN-0,DSP,UNI,BAG,WAL,SEU,DGN,0,0,Other,2900000
3326219517076,Apparel,Saigon Story,GPR-GOR-MEN-TSP-ONE-SSY-GRE-XXL,GOR,MEN,TSP,ONE,SSY,GRE,XXL,T-shirts Pocket Short Sleeves,T-Shirt,790000
3328808169376,Accessories,Saigon Story,GPR-OTH-UNI-FWR-SLI-SSY-BLU-38,OTH,UNI,FWR,SLI,SSY,BLU,38,0,Other,395000
3330929009400,Concept,"Jade, Sterling silver, EU Leather",CCO-HAM-UNI-JEW-NEC-099-MIX-0,HAM,UNI,JEW,NEC,099,MIX,0,0,Other,3500000
3332580542906,Apparel,Star map,GPR-GBA-MEN-TSS-ONE-SMP-BLK-M,GBA,MEN,TSS,ONE,SMP,BLK,M,T-Shirt Short Sleeves,T-Shirt,710000
3333520653201,Accessories,Urban,GPR-OTH-UNI-SOU-NBS-URB-GRN-A6,OTH,UNI,SOU,NBS,URB,GRN,A6,0,Other,65000
3336700095273,Apparel,Linen Shorts,GPR-GLI-MEN-SHS-BBT-LIN-WHI-XL,GLI,MEN,SHS,BBT,LIN,WHI,XL,Short men straight,Short,2290000
3343244388570,Apparel,Star Map,GPR-GSL-WOM-TSS-VNE-SMP-WHI-S,GSL,WOM,TSS,VNE,SMP,WHI,S,T-Shirt Short Sleeves,T-Shirt,750000
3343496236209,Concept,Bộ cờ tỷ phú - Hanoiopoly,CPU-MAZ-UNI-SOU-GAM-HNY-WOE-0,MAZ,UNI,SOU,GAM,HNY,WOE,0,0,Other,3890000
3361518551901,Concept,BDB Moringa & Petitgrain,CCO-ODE-UNI-COS-FCE-B03-NON-0,ODE,UNI,COS,FCE,B03,NON,0,0,Other,355000
3369188667731,Apparel,Hang Hoa,GPR-GOR-MEN-TSS-ONE-HHA-WHI-S,GOR,MEN,TSS,ONE,HHA,WHI,S,T-Shirt Short Sleeves,T-Shirt,990000
3369698511036,Apparel,Smily Dots,GPR-GOR-KID-TSS-ONE-SDS-WHI-10,GOR,KID,TSS,ONE,SDS,WHI,10,T-Shirt Short Sleeves,T-Shirt,590000
3371106273207,Apparel,Vietnam Telecom,GPR-GSL-WOM-TSS-VNE-VTM-WHI-M,GSL,WOM,TSS,VNE,VTM,WHI,M,T-Shirt Short Sleeves,T-Shirt,750000
3373363602608,Apparel,Smily Dots,GPR-GOR-KID-TSS-ONE-SDS-WHI-8,GOR,KID,TSS,ONE,SDS,WHI,8,T-Shirt Short Sleeves,T-Shirt,590000
3381772134337,Apparel,Di Dau,GPR-GBA-MEN-TSS-ONE-DDU-GRE-XL,GBA,MEN,TSS,ONE,DDU,GRE,XL,T-Shirt Short Sleeves,T-Shirt,710000
3390329278172,Apparel,Saigon Story,GPR-GBA-MEN-TSS-ONE-SSY-GRE-S,GBA,MEN,TSS,ONE,SSY,GRE,S,T-Shirt Short Sleeves,T-Shirt,710000
3397277186771,Accessories,Postcard,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3397277186771,Accessories,Postcard Beerpop,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3397277186771,Accessories,Postcard Di dau,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3397277186771,Accessories,Postcard Hoa,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3397277186771,Accessories,Postcard Hoi An,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3397277186771,Accessories,Postcard Saigon Story,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3397277186771,Accessories,Postcard Traffic Jam,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3397277186771,Accessories,Postcard Traffic Light,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3397277186771,Accessories,Postcard Trapical Night,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3397277186771,Accessories,Postcard Urban,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3397277186771,Accessories,Postcard Vietnam Telecom,GPR-OTH-UNI-SOU-POS-MIX-MIX-S,OTH,UNI,SOU,POS,MIX,MIX,S,0,Other,35000
3409481958676,Concept,ED Tote Bag - Miss Anh,CCO-EDE-UNI-BAG-TTB-ANH-YEL-0,EDE,UNI,BAG,TTB,ANH,YEL,0,0,Other,470000
3411370781074,Concept,Chatto,CCO-DSP-UNI-BAG-CLU-CHA-BLK-0,DSP,UNI,BAG,CLU,CHA,BLK,0,0,Other,1300000
3412312207577,Concept,SAIGON CLASSIQUE' 24,CPU-NGO-UNI-FWR-SNE-SGS-LYC-42,NGO,UNI,FWR,SNE,SGS,LYC,42,0,Other,3850000
3415807744731,Apparel,Logo,GPR-GSP-MEN-POL-MAN-LOG-BLK-M,GSP,MEN,POL,MAN,LOG,BLK,M,Polo Short sleeves,Polo,1090000
3417286655300,Concept,Golden metal,CCO-HAM-UNI-JEW-EAR-33G-MIX-0,HAM,UNI,JEW,EAR,33G,MIX,0,0,Other,600000
3417860149201,Apparel,Traffic Light,GPR-GBA-KID-TSS-ONE-TLT-BLK-6,GBA,KID,TSS,ONE,TLT,BLK,6,T-Shirt Short Sleeves,T-Shirt,550000
3420454807708,Apparel,Traffic Jam,GPR-GOR-MEN-TSP-ONE-TJM-OLI-M,GOR,MEN,TSP,ONE,TJM,OLI,M,T-shirts Pocket Short Sleeves,T-Shirt,790000
3430586714003,Apparel,Smily Dots,GPR-GOR-KID-TSS-ONE-SDS-WHI-2,GOR,KID,TSS,ONE,SDS,WHI,2,T-Shirt Short Sleeves,T-Shirt,590000
3440296234272,Concept,Chatto,CCO-DSP-UNI-BAG-CLU-CHA-LDP-0,DSP,UNI,BAG,CLU,CHA,LDP,0,0,Other,1300000
3442660337305,Apparel,Di Dau,GPR-GOR-KID-TSS-ONE-DDU-BOR-4,GOR,KID,TSS,ONE,DDU,BOR,4,T-Shirt Short Sleeves,T-Shirt,590000
3447872691238,Concept,Ví cầm tay nữ (Amelia Purse I),CCO-DSP-UNI-BAG-CLU-AP1-CHO-0,DSP,UNI,BAG,CLU,AP1,CHO,0,0,Other,3300000
3450189687870,Apparel,Traffic Light,GPR-GBA-MEN-TSS-ONE-TLT-BLK-XL,GBA,MEN,TSS,ONE,TLT,BLK,XL,T-Shirt Short Sleeves,T-Shirt,710000
3450589468079,Apparel,Shuttlecock,GPR-GSP-MEN-POL-MAN-SHU-BLK-S,GSP,MEN,POL,MAN,SHU,BLK,S,Polo Short sleeves,Polo,1090000
3457286792407,Concept,"Silk beads, Jade",CCO-HAM-UNI-JEW-NEC-A39-MIX-0,HAM,UNI,JEW,NEC,A39,MIX,0,0,Other,2000000
3467686934574,Concept,Martial Slipper,CCO-DSP-UNI-FWR-SLI-MAS-DBN-39,DSP,UNI,FWR,SLI,MAS,DBN,39,0,Other,6200000
3477237256031,Concept,"Silk beads, Agates",CCO-HAM-UNI-JEW-NEC-123-MIX-0,HAM,UNI,JEW,NEC,123,MIX,0,0,Other,3000000
3479834751476,Apparel,Vietnam Telecom,GPR-GOR-MEN-TSS-ONE-VTM-GRE-S,GOR,MEN,TSS,ONE,VTM,GRE,S,T-Shirt Short Sleeves,T-Shirt,790000
3487055607601,Apparel,Flying Stock,GPR-GSL-WOM-TTS-ONE-FST-ORA-S,GSL,WOM,TTS,ONE,FST,ORA,S,Tank Top Sleeveless,Tank Top,750000
3499280303838,Concept,Alex Loafer,CCO-DSP-UNI-FWR-LES-ALF-BUR-47,DSP,UNI,FWR,LES,ALF,BUR,47,0,Other,7800000
3501096708537,Apparel,Hoi An,GPR-GSL-KID-TSS-ONE-HAI-BLK-2,GSL,KID,TSS,ONE,HAI,BLK,2,T-Shirt Short Sleeves,T-Shirt,550000
3506975405439,Apparel,Rain Forest,GPR-GCV-MEN-SIS-BUT-RFT-WHI-XL,GCV,MEN,SIS,BUT,RFT,WHI,XL,Shirt Short Sleeves ,Shirt,1790000
3507684375136,Apparel,Saigon Traffic,GPR-GOR-MEN-TSS-ONE-STC-WHI-M,GOR,MEN,TSS,ONE,STC,WHI,M,T-Shirt Short Sleeves,T-Shirt,790000
3508077609777,Concept,Delacroix,CCO-DSP-UNI-HDR-SAS-DEL-DRE-0,DSP,UNI,HDR,SAS,DEL,DRE,0,0,Other,1400000
3518493072208,Apparel,Green Star fruit,GPR-GSU-WOM-TSP-ONE-SF2-NI-L,GSU,WOM,TSP,ONE,SF2,NI,L,T-shirts Pocket Short Sleeves,T-Shirt,1790000
3521492372101,Concept,Seurat,CCO-DSP-UNI-BAG-WAL-SEU-YWL-0,DSP,UNI,BAG,WAL,SEU,YWL,0,0,Other,2900000
3531829327421,Apparel,Saigon Motor,GPR-GOR-MEN-TSS-ONE-SMR-WHI-L,GOR,MEN,TSS,ONE,SMR,WHI,L,T-Shirt Short Sleeves,T-Shirt,790000
3533090916939,Concept,ED Tote Bag - Miss Dung,CCO-EDE-UNI-BAG-TTB-DUN-WHI-0,EDE,UNI,BAG,TTB,DUN,WHI,0,0,Other,470000
3533279114606,Concept,Schaeffer,CCO-DSP-UNI-BAG-CHR-SCH-BBM-0,DSP,UNI,BAG,CHR,SCH,BBM,0,0,Other,1150000
3538260887101,Concept,Golden metal,CCO-HAM-UNI-JEW-EAR-34G-MIX-0,HAM,UNI,JEW,EAR,34G,MIX,0,0,Other,600000
3538260887101,Concept,Golden metal,CCO-HAM-UNI-JEW-EAR-34G-MIX-0,HAM,UNI,JEW,EAR,34G,MIX,0,0,Other,600000
3543946264237,Concept,"Jade, Leathetr",CCO-HAM-UNI-JEW-NEC-125-MIX-0,HAM,UNI,JEW,NEC,125,MIX,0,0,Other,2500000
3549124022903,Apparel,Rain Forest,GPR-GSU-MEN-POL-MAN-RFT-VIO-XL,GSU,MEN,POL,MAN,RFT,VIO,XL,Polo Short sleeves,Polo,1190000
3553110492939,Apparel,Jungle,GPR-GBA-MEN-TSP-ONE-JUN-JBG-XXL,GBA,MEN,TSP,ONE,JUN,JBG,XXL,T-shirts Pocket Short Sleeves,T-Shirt,890000
3553698889176,Concept,"Jade, Glass",CCO-HAM-UNI-JEW-EAR-36G-MIX-0,HAM,UNI,JEW,EAR,36G,MIX,0,0,Other,600000
3556072490975,Apparel,Ginkgo Leaf 2,GPR-GSL-WOM-APP-BNE-GL2-GPE-M,GSL,WOM,APP,BNE,GL2,GPE,M,Apple,Apple,750000
3558036693835,Concept,Tràng An 6x130,CCO-LAN-UNI-HWR-SC2-TAN-PIN-6x130,LAN,UNI,HWR,SC2,TAN,PIN,6x130,0,Other,365000
3565190967139,Apparel,Star,GPR-GOR-KID-TSS-ONE-STA-RED-6,GOR,KID,TSS,ONE,STA,RED,6,T-Shirt Short Sleeves,T-Shirt,590000
3573161902454,Concept,Women's Bags Gaskell  I,CCO-DSP-UNI-BAG-HDB-GA1-RED-0,DSP,UNI,BAG,HDB,GA1,RED,0,0,Other,8690000
3574189467000,Apparel,Hoi An,GPR-GBA-MEN-TSP-ONE-HAI-BLK-M,GBA,MEN,TSP,ONE,HAI,BLK,M,T-shirts Pocket Short Sleeves,T-Shirt,710000
3575878768408,Concept,"Silk beads, Agate/ Crystal",CCO-HAM-UNI-JEW-BRA-BR0-MIX-0,HAM,UNI,JEW,BRA,BR0,MIX,0,0,Other,600000
3577026351203,Apparel,No Name,GPR-GSP-WOM-SKS-EBT-NNE-BLK-L,GSP,WOM,SKS,EBT,NNE,BLK,L,Slit Pencil Skirt,Skirt,810000
3578536951600,Apparel,The Chairs,GPR-GFI-KID-SWL-ONE-TCS-CRE-8,GFI,KID,SWL,ONE,TCS,CRE,8,Sweatshirt long sleeves,Shirt,990000
3587043993874,Concept,Duchamp,CCO-DSP-UNI-ACC-KEY-DUC-LEA-0,DSP,UNI,ACC,KEY,DUC,LEA,0,0,Other,690000
3591593262205,Concept,Sương Nguyệt Anh 6x130,CCO-LAN-UNI-HWR-SC2-SNA-YEL-6x130,LAN,UNI,HWR,SC2,SNA,YEL,6x130,0,Other,365000
3600919737287,Concept,Sơn La Blend,CCO-SHI-UNI-FNB-CFB-SLB-WHI-BAG,SHI,UNI,FNB,CFB,SLB,WHI,BAG,0,Other,250000
3601832192207,Concept,BLACK PEPPER GRINDER 55G,CPU-BLS-UNI-FNB-SAL-012-MIX-55g,BLS,UNI,FNB,SAL,012,MIX,55g,0,Other,125000
3602499449109,Concept,Khăn Sapa 6x130,CCO-LAN-UNI-HWR-SC2-SPA-PUR-6x130,LAN,UNI,HWR,SC2,SPA,PUR,6x130,0,Other,365000
3611678415095,Apparel,Di Dau,GPR-GOR-MEN-TSS-ONE-DDU-GRE-L,GOR,MEN,TSS,ONE,DDU,GRE,L,T-Shirt Short Sleeves,T-Shirt,790000
3615073198508,Apparel,Xich lo,GPR-GOR-MEN-TSP-ONE-XLO-WHI-M,GOR,MEN,TSP,ONE,XLO,WHI,M,T-shirts Pocket Short Sleeves,T-Shirt,790000
3615900322878,Accessories,Tropical Night,GPR-OTH-UNI-SOU-NBP-TNT-WHI-A5,OTH,UNI,SOU,NBP,TNT,WHI,A5,0,Other,255000
3620003176204,Apparel,Ghe Sup,GPR-GFN-KID-SHS-EBT-GSP-BLK-8,GFN,KID,SHS,EBT,GSP,BLK,8,Short men straight,Short,690000
3622991507770,Concept,SanMai M390 19cm Chef,CPU-VNE-UNI-SOU-SMS-CHE-SGR-19CM,VNE,UNI,SOU,SMS,CHE,SGR,19CM,0,Other,7900000
3625589666446,Concept,Khăn 2M Ngoc Hân 70x70,CCO-LAN-UNI-HWR-SC2-NHH-GRN-70x70,LAN,UNI,HWR,SC2,NHH,GRN,70x70,0,Other,749000
3637405186601,Art,PANDA,CCO-PAS-UNI-ART-ART-PAN-MIX-A3,PAS,UNI,ART,ART,PAN,MIX,A3,0,Other,5000000
3641289979433,Concept,SAIGON CLASSIQUE' 24,CPU-NGO-UNI-FWR-SNE-SGS-SES-41,NGO,UNI,FWR,SNE,SGS,SES,41,0,Other,3850000
3641363489698,Concept,Cushion insert square,CCO-EDE-UNI-HDR-CUS-SQA-MIX-0,EDE,UNI,HDR,CUS,SQA,MIX,0,0,Other,150000
3648207991775,Apparel,Logo,GPR-GLI-MEN-SIS-MAN-LOG-CAM-L,GLI,MEN,SIS,MAN,LOG,CAM,L,Shirt Short Sleeves ,Shirt,2790000
3651271189801,Apparel,Logo,GPR-GLI-MEN-SIS-CLA-LOG-WHI-XL,GLI,MEN,SIS,CLA,LOG,WHI,XL,Shirt Short Sleeves ,Shirt,2590000
3651930967474,Concept,Alcott,CCO-DSP-UNI-BAG-TTB-ALT-BLK-0,DSP,UNI,BAG,TTB,ALT,BLK,0,0,Other,14990000
3652109695211,Concept,Passport Holder - AHP,CCO-TOH-UNI-BAG-PHR-AHP-MIX-0,TOH,UNI,BAG,PHR,AHP,MIX,0,0,Other,195000
3657804342606,Concept,Schaeffer,CCO-DSP-UNI-BAG-CHR-SCH-LEA-0,DSP,UNI,BAG,CHR,SCH,LEA,0,0,Other,1150000
3661304536076,Accessories,Hộp viết (Pencil Case),GPR-OTH-UNI-BAG-PCE-PCE-ORA-0,OTH,UNI,BAG,PCE,PCE,ORA,0,0,Other,395000
3661700548413,Accessories,Bali Lion,GPR-OTH-UNI-SOU-HFS-BLN-WHI-0,OTH,UNI,SOU,HFS,BLN,WHI,0,0,Other,355000
